City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Arraial do Cabo,75,BR,1586637350,88,-22.97,-42.03,22.149999999999977,2.1
Feicheng,0,CN,1586637764,56,35.26,117.97,6.930000000000007,2.96
Orlik,100,RU,1586637354,62,52.52,99.83,-3.0600000000000023,1.67
Rikitea,78,PF,1586637346,74,-23.12,-134.97,25.170000000000016,0.6
Ushuaia,75,AR,1586637164,70,-54.8,-68.3,7.149999999999977,12.3
Kruisfontein,89,ZA,1586637435,54,-34.0,24.73,16.860000000000014,1.01
George Town,20,MY,1586637364,88,5.41,100.34,28.149999999999977,1.5
Toba,75,JP,1586637766,57,34.48,136.85,10.149999999999977,3.1
Clonakilty,20,IE,1586637766,54,51.62,-8.87,14.149999999999977,5.7
Constitución,60,CL,1586637364,65,-35.33,-72.42,15.899999999999977,6.09
Suoyarvi,29,RU,1586637767,94,62.08,32.35,-3.1899999999999977,1.37
Qaanaaq,91,GL,1586637346,75,77.48,-69.36,-9.819999999999993,1.05
Nichinan,100,JP,1586637768,82,31.6,131.37,12.930000000000007,1.79
Liwale,100,TZ,1586637368,84,-9.77,37.93,20.80000000000001,1.89
Inírida,20,CO,1586637605,65,3.87,-67.92,30.680000000000007,1.82
Pokhara,0,NP,1586637768,20,28.23,83.98,17.589999999999975,2.76
Pevek,62,RU,1586637769,91,69.7,170.31,-14.079999999999984,5.92
Lensk,83,RU,1586637769,95,60.73,114.93,-0.9599999999999795,3.46
Laguna,75,US,1586637344,72,38.42,-121.42,19.589999999999975,4.1
Mackenzie,1,CA,1586637770,29,55.3,-123.17,1.1499999999999773,4.6
Lata,75,PT,1586637417,87,40.16,-8.33,15.149999999999977,3.1
Chui,33,UY,1586637744,66,-33.7,-53.46,19.00999999999999,3.13
Lorengau,58,PG,1586637770,75,-2.02,147.27,28.079999999999984,0.56
Oktyabr'skoye,100,RU,1586637360,93,43.06,44.74,7.930000000000007,4.0
Ust'-Koksa,5,RU,1586637771,56,50.27,85.61,-0.44999999999998863,2.04
Castro,13,BR,1586637378,66,-24.79,-50.01,16.230000000000018,1.04
Pauini,100,BR,1586637772,90,-7.71,-66.98,27.220000000000027,0.83
Ribeira Grande,20,PT,1586637373,77,38.52,-28.7,17.149999999999977,1.5
Albany,75,US,1586637318,42,42.6,-73.97,9.589999999999975,6.7
Atambua,91,ID,1586637729,80,-9.11,124.89,22.730000000000018,1.19
Saint George,1,US,1586637238,36,37.1,-113.58,20.149999999999977,2.1
Bluff,100,NZ,1586637357,69,-46.6,168.33,12.930000000000007,1.79
Lagoa,0,PT,1586637371,75,39.05,-27.98,16.629999999999995,4.68
Chokurdakh,99,RU,1586637346,98,70.63,147.92,-2.509999999999991,6.19
Hobart,75,AU,1586637355,71,-42.88,147.33,10.149999999999977,1.0
Aklavik,20,CA,1586637372,66,68.22,-135.01,-8.850000000000023,4.1
Souillac,75,MU,1586637734,83,-20.52,57.52,25.70999999999998,7.2
Morón,2,AR,1586637779,53,-34.65,-58.62,24.149999999999977,3.1
Busselton,96,AU,1586637345,60,-33.65,115.33,21.819999999999993,3.64
Mataura,100,NZ,1586637353,69,-46.19,168.86,12.930000000000007,1.79
Concepción del Uruguay,0,AR,1586637780,44,-32.48,-58.24,24.589999999999975,0.89
Naze,75,JP,1586637780,93,28.37,129.48,19.149999999999977,7.7
Butaritari,95,KI,1586637346,76,3.07,172.79,29.029999999999973,5.97
Luanda,71,AO,1586637609,82,-8.84,13.23,26.439999999999998,2.14
Hong Kong,40,HK,1586637732,77,22.29,114.16,19.589999999999975,7.2
Mar del Plata,37,AR,1586637197,56,-38.0,-57.56,22.370000000000005,5.7
Qingdao,0,CN,1586637782,86,36.1,120.37,7.3700000000000045,1.0
Tasiilaq,72,GL,1586637368,50,65.61,-37.64,-0.8500000000000227,4.1
Mnogovershinnyy,78,RU,1586637782,93,53.94,139.92,-2.1399999999999864,3.8
Esperance,98,AU,1586637367,64,-33.87,121.9,20.149999999999977,8.7
Oranjemund,27,NA,1586637437,92,-28.55,16.43,15.360000000000014,0.82
Kapaa,40,US,1586637347,69,22.08,-159.32,26.25999999999999,3.1
Cockburn Town,0,TC,1586637783,69,21.46,-71.14,27.19999999999999,4.52
Punta Arenas,40,CL,1586637305,61,-53.15,-70.92,9.149999999999977,8.7
Marataizes,73,BR,1586637784,90,-21.04,-40.82,23.589999999999975,3.54
Sal Rei,41,CV,1586637670,78,16.18,-22.92,23.149999999999977,5.7
Hobyo,0,SO,1586637784,70,5.35,48.53,28.519999999999982,6.31
Carnarvon,14,AU,1586637361,100,-24.87,113.63,24.149999999999977,5.1
Kaitangata,92,NZ,1586637345,93,-46.28,169.85,11.259999999999991,1.34
Cidreira,4,BR,1586637349,67,-30.18,-50.21,19.889999999999986,3.19
Huilong,10,CN,1586637362,85,31.81,121.66,11.819999999999993,7.4
Biak,47,ID,1586637693,72,-0.91,122.88,26.480000000000018,2.32
Faanui,56,PF,1586637375,77,-16.48,-151.75,28.25999999999999,5.66
Port Alfred,77,ZA,1586637357,92,-33.59,26.89,20.149999999999977,0.89
Ganzhou,0,CN,1586637416,81,28.82,115.43,7.850000000000023,1.99
Spring Hill,1,US,1586637787,42,28.48,-82.53,30.149999999999977,1.5
Olinda,20,BR,1586637240,70,-8.01,-34.86,30.149999999999977,3.6
Bredasdorp,100,ZA,1586637355,68,-34.53,20.04,21.25999999999999,2.6
Mount Gambier,90,AU,1586637346,71,-37.83,140.77,11.149999999999977,3.1
Iqaluit,75,CA,1586637362,79,63.75,-68.51,-4.850000000000023,6.2
Puerto Ayora,75,EC,1586637066,66,-0.74,-90.35,30.149999999999977,5.1
Ngunguru,35,NZ,1586637359,98,-35.62,174.5,14.589999999999975,0.45
Avarua,96,CK,1586637350,83,-21.21,-159.78,29.149999999999977,2.6
